Country,date,cases
India,04-03-2020,28
India,05-03-2020,30
India,06-03-2020,31
India,07-03-2020,34
India,08-03-2020,39
India,09-03-2020,43
India,10-03-2020,56
India,11-03-2020,62
India,12-03-2020,73
India,13-03-2020,82
India,14-03-2020,102
India,15-03-2020,113
India,16-03-2020,119
India,17-03-2020,142
India,18-03-2020,156
India,19-03-2020,194
India,20-03-2020,244
India,21-03-2020,330
India,22-03-2020,396
India,23-03-2020,499
India,24-03-2020,536
India,25-03-2020,657
India,26-03-2020,727
India,27-03-2020,887
India,28-03-2020,987
India,29-03-2020,1024
India,30-03-2020,1251
India,31-03-2020,1397
India,01-04-2020,1998
India,02-04-2020,2543
India,03-04-2020,2567
India,04-04-2020,3082
India,05-04-2020,3588
India,06-04-2020,4778
India,07-04-2020,5311
India,08-04-2020,5916
India,09-04-2020,6725
India,10-04-2020,7598
India,11-04-2020,8446
India,12-04-2020,9205
India,13-04-2020,10453
India,14-04-2020,11487
India,15-04-2020,12322
India,16-04-2020,13430
India,17-04-2020,14352
India,18-04-2020,15722
India,19-04-2020,17615
India,20-04-2020,18539
India,21-04-2020,20080
India,22-04-2020,21370
India,23-04-2020,23077
India,24-04-2020,24530
India,25-04-2020,26283
India,26-04-2020,27890
India,27-04-2020,29451
India,28-04-2020,31324
India,29-04-2020,33062
India,30-04-2020,34863
India,01-05-2020,37257
India,02-05-2020,39699
India,03-05-2020,42505
India,04-05-2020,46437
India,05-05-2020,49400
India,06-05-2020,52987
India,07-05-2020,56351
India,08-05-2020,59695
India,09-05-2020,62808
India,10-05-2020,67161
India,11-05-2020,70768
India,12-05-2020,74292
India,13-05-2020,78055
India,14-05-2020,81997
India,15-05-2020,85784
India,16-05-2020,90648
India,17-05-2020,95698
India,18-05-2020,100328
India,19-05-2020,106475
India,20-05-2020,112028
India,21-05-2020,118226
India,22-05-2020,124794
India,23-05-2020,131423
India,24-05-2020,138536
India,25-05-2020,144950
India,26-05-2020,150793
India,27-05-2020,158086
India,28-05-2020,165386
India,29-05-2020,173491
India,30-05-2020,181827
India,31-05-2020,190609
India,01-06-2020,198370
India,02-06-2020,207191
India,03-06-2020,216824
India,04-06-2020,226713
India,05-06-2020,236184
India,06-06-2020,246622
India,07-06-2020,257486
India,08-06-2020,265928
India,09-06-2020,276146
India,10-06-2020,286605
India,11-06-2020,297535
India,12-06-2020,308993
India,13-06-2020,320922
India,14-06-2020,332424
India,15-06-2020,343091
India,16-06-2020,354065
India,17-06-2020,366946
India,18-06-2020,380532
India,19-06-2020,395048
India,20-06-2020,410451
India,21-06-2020,425282
India,22-06-2020,440215
India,23-06-2020,456183
India,24-06-2020,473105
India,25-06-2020,490401
India,26-06-2020,508953
India,27-06-2020,528859
India,28-06-2020,548318
India,29-06-2020,566840
India,30-06-2020,585481
India,01-07-2020,604641
India,02-07-2020,625544
India,03-07-2020,648315
India,04-07-2020,673165
India,05-07-2020,697413
India,06-07-2020,719664
India,07-07-2020,742417
India,08-07-2020,767296
India,09-07-2020,793802
India,10-07-2020,820916
India,11-07-2020,849522
India,12-07-2020,878254
India,13-07-2020,906752
India,14-07-2020,936181
India,15-07-2020,968857
India,16-07-2020,1003832
India,17-07-2020,1039084
India,18-07-2020,1077781
India,19-07-2020,1118206
India,20-07-2020,1155338
India,21-07-2020,1193078
India,22-07-2020,1238798
India,23-07-2020,1288108
India,24-07-2020,1337024
India,25-07-2020,1385635
India,26-07-2020,1435616
India,27-07-2020,1480073
India,28-07-2020,1531669
India,29-07-2020,1581963
India,30-07-2020,1634746
India,31-07-2020,1695988
India,01-08-2020,1750723
